Condition,Debug,Face,Fixation_Time,Message,Message_Condition,Message_Survey_Response,Number_Order,Order,Task,_prepare,_run,advance_immediately,allow_multiple,auto_log,background,break_if,button_text,canvas_backend,column_order,compensation,coordinates,count_Blank_Screen,count_Condition_B,count_Face_Slide,count_Fixation,count_Frustration,count_IAT,count_Message,count_Message_Loop,count_Message_Survey,count_Message_audio,count_Message_sequence,count_Order,count_Resting_State,count_Set_values,count_Settings,count_Welcome_Frustration,count_Welcome_IAT,count_Welcome_Message,count_Welcome_Resting_State,count_experiment,count_logger,count_sequence,cycles,description,duration,fade_in,foreground,form_title,form_var,height,ignore_missing,item,keyboard_backend,mouse_backend,options,order,pan,pitch,question,repeat,repeat_cycle,reset_variables,response,response_Message_audio,response_Welcome_Frustration,response_Welcome_IAT,response_Welcome_Message,response_Welcome_Resting_State,response_time,response_time_Message_audio,response_time_Welcome_Frustration,response_time_Welcome_IAT,response_time_Welcome_Message,response_time_Welcome_Resting_State,sample,sampler_backend,skip,start,stop_after,subject_nr,subject_parity,synth_backend,time_Blank_Screen,time_Condition_B,time_Face_Slide,time_Fixation,time_Frustration,time_IAT,time_Message,time_Message_Loop,time_Message_Survey,time_Message_audio,time_Message_sequence,time_Order,time_Resting_State,time_Set_values,time_Settings,time_Welcome_Frustration,time_Welcome_IAT,time_Welcome_Message,time_Welcome_Resting_State,time_experiment,time_logger,time_sequence,title,use_quotes,volume,width
"even","100","b.jpg","10","b.ogg","Negative","2 - Negative","4","NA","Message","NA","NA","NA","NA","yes","black","NA","NA","xpyriment","NA","0","relative","1","NA","0","4","3","3","3","3","0","0","0","0","3","3","0","3","3","3","3","0","0","3","NA","Logs experimental data","NA","NA","white","NA","NA","768","yes","NA","legacy","xpyriment","NA","NA","NA","NA","NA","NA","0","NA","space","NA","space","NA","space","space","2352","NA","1779","NA","2352","4453","NA","legacy","NA","experiment","NA","0","even","legacy","37525","NA","21512","21495","6986","NA","17054","19426","NA","22512","19963","1162","9839","17054","1160","6999","NA","17074","9852","1160","50872","17054","New experiment","yes","NA","1024"
"even","100","a.jpg","10","a.ogg","Positive","3 - Positive","4","NA","Message","NA","NA","NA","NA","yes","black","NA","NA","xpyriment","NA","0","relative","3","NA","1","5","3","3","3","3","1","1","1","0","3","3","0","3","3","3","3","0","1","3","NA","Logs experimental data","NA","NA","white","NA","NA","768","yes","NA","legacy","xpyriment","NA","NA","NA","NA","NA","NA","0","NA","space","NA","space","NA","space","space","2352","NA","1779","NA","2352","4453","NA","legacy","NA","experiment","NA","0","even","legacy","58309","NA","52838","52822","6986","NA","17054","19426","NA","53838","51294","1162","9839","17054","1160","6999","NA","17074","9852","1160","62539","17054","New experiment","yes","NA","1024"
