Stimuli,Task,Trial_Type,count_IAT_Task_Loop,subject_nr,time_Combo,time_IAT_Screen,time_IAT_Task_Loop,time_Image_Training
"Sexuality02.jpg","H-LG","Image_Training","0","11","NA","21663260","21656661","21662933"
Stimuli,Task,Trial_Type,correct,correct_IAT_Response,count_IAT_Task_Loop,subject_nr,time_Combo,time_IAT_Correction_Response,time_IAT_Screen,time_IAT_Task_Loop,time_Image_Training
"Sexuality02.jpg","H-LG","Image_Training","1","1","0","11","NA","NA","21663260","21656661","21662933"
"Heterosexual","H-LG","Image_Training","0","11","NA","21664996","21656661","21662933"
"Heterosexual","H-LG","Image_Training","1","1","0","11","NA","NA","21664996","21656661","21662933"
"Straight","H-LG","Image_Training","0","11","NA","21666075","21656661","21662933"
"Straight","H-LG","Image_Training","1","1","0","11","NA","NA","21666075","21656661","21662933"
"Sexuality00.jpg","H-LG","Image_Training","0","11","NA","21667139","21656661","21662933"
"Sexuality00.jpg","H-LG","Image_Training","1","1","0","11","NA","NA","21667139","21656661","21662933"
"Heterosexual","H-LG","Image_Training","0","11","NA","21669716","21656661","21662933"
"Heterosexual","H-LG","Image_Training","1","1","0","11","NA","NA","21669716","21656661","21662933"
"Gay","H-LG","Image_Training","0","11","NA","21670957","21656661","21662933"
"Gay","H-LG","Image_Training","1","1","0","11","NA","NA","21670957","21656661","21662933"
"Sexuality03.jpg","H-LG","Image_Training","0","11","NA","21672380","21656661","21662933"
"Sexuality03.jpg","H-LG","Image_Training","1","1","0","11","NA","NA","21672380","21656661","21662933"
"Straight","H-LG","Image_Training","0","11","NA","21673640","21656661","21662933"
"Straight","H-LG","Image_Training","1","1","0","11","NA","NA","21673640","21656661","21662933"
"Sexuality05.jpg","H-LG","Image_Training","0","11","NA","21674923","21656661","21662933"
"Sexuality05.jpg","H-LG","Image_Training","1","1","0","11","NA","NA","21674923","21656661","21662933"
"Sexuality00.jpg","H-LG","Image_Training","0","11","NA","21676533","21656661","21662933"
"Sexuality00.jpg","H-LG","Image_Training","1","1","0","11","NA","NA","21676533","21656661","21662933"
"Sexuality03.jpg","H-LG","Image_Training","0","11","NA","21677597","21656661","21662933"
"Sexuality03.jpg","H-LG","Image_Training","1","1","0","11","NA","NA","21677597","21656661","21662933"
"Homosexual","H-LG","Image_Training","0","11","NA","21678622","21656661","21662933"
"Homosexual","H-LG","Image_Training","1","1","0","11","NA","NA","21678622","21656661","21662933"
"Sexuality01.jpg","H-LG","Image_Training","0","11","NA","21679567","21656661","21662933"
"Sexuality01.jpg","H-LG","Image_Training","1","1","0","11","NA","NA","21679567","21656661","21662933"
"Sexuality04.jpg","H-LG","Image_Training","0","11","NA","21680614","21656661","21662933"
"Sexuality04.jpg","H-LG","Image_Training","1","1","0","11","NA","NA","21680614","21656661","21662933"
"Homosexual","H-LG","Image_Training","0","11","NA","21681443","21656661","21662933"
"Homosexual","H-LG","Image_Training","1","1","0","11","NA","NA","21681443","21656661","21662933"
"Gay","H-LG","Image_Training","0","11","NA","21682330","21656661","21662933"
